Cidade,Probabilidade_Estacionaria
"São Vicente, SP, BRAZIL",0.0031731900320625833
"Novo Gama, GO, BRAZIL",0.0031721906188197724
"Camaragibe, PE, BRAZIL",0.0031719471628551574
"Ubá, MG, BRAZIL",0.003171229095030784
"Cascavel, PR, BRAZIL",0.0031710301612752805
"Sorocaba, SP, BRAZIL",0.0031708816309536656
"Marília, SP, BRAZIL",0.00317045166731877
"Mesquita, RJ, BRAZIL",0.0031696738631467806
"Manaus, AM, BRAZIL",0.0031696468678705206
"Salto, SP, BRAZIL",0.0031691393362036297
"Igarassu, PE, BRAZIL",0.0031687131825461584
"Ituiutaba, MG, BRAZIL",0.0031685402000634563
"Maracanaú, CE, BRAZIL",0.0031684589193824784
"Guarapari, ES, BRAZIL",0.003167955521810251
"São Carlos, SP, BRAZIL",0.0031678059600969634
"Barbacena, MG, BRAZIL",0.0031676513714646638
"Simões Filho, BA, BRAZIL",0.003167529134058991
"Cambé, PR, BRAZIL",0.00316724275865115
"Trindade, GO, BRAZIL",0.0031668531664139146
"Nova Friburgo, RJ, BRAZIL",0.0031665298334863897
"Uberaba, MG, BRAZIL",0.0031662147476349853
"Ribeirão Preto, SP, BRAZIL",0.003166085974635706
"Rio Grande, RS, BRAZIL",0.003165920619115267
"Presidente Prudente, SP, BRAZIL",0.003165249938128604
"Francisco Morato, SP, BRAZIL",0.0031648563300003597
"Resende, RJ, BRAZIL",0.003164198429178889
"Luziânia, GO, BRAZIL",0.0031640705159201106
"Eunápolis, BA, BRAZIL",0.003163952688167327
"Angra dos Reis, RJ, BRAZIL",0.0031639081466716843
"Duque de Caxias, RJ, BRAZIL",0.003163753105290823
"Teresina, PI, BRAZIL",0.003163711645131751
"Guarujá, SP, BRAZIL",0.0031635898205887407
"Muriaé, MG, BRAZIL",0.003163574201000723
"Jandira, SP, BRAZIL",0.0031635228123874527
"Nova Iguaçu, RJ, BRAZIL",0.0031634523992591134
"Itaituba, PA, BRAZIL",0.0031632097570153325
"Itabuna, BA, BRAZIL",0.003162163534865726
"Niterói, RJ, BRAZIL",0.0031615188707036905
"Londrina, PR, BRAZIL",0.003161433712069726
"Catanduva, SP, BRAZIL",0.003159530732828545
"Parauapebas, PA, BRAZIL",0.0031595034576269586
"Santo Antônio de Jesus, BA, BRAZIL",0.0031587672898980273
"Mogi Guaçu, SP, BRAZIL",0.003158248457883713
"Praia Grande, SP, BRAZIL",0.0031575336099127415
"Magé, RJ, BRAZIL",0.0031568697853155132
"Santana de Parnaíba, SP, BRAZIL",0.003156029352134252
"Porto Seguro, BA, BRAZIL",0.0031550690807593492
"Sinop, MT, BRAZIL",0.003154987329461904
"Várzea Grande, MT, BRAZIL",0.0031548590586713346
"Itaquaquecetuba, SP, BRAZIL",0.0031545668694137738
"Itanhaém, SP, BRAZIL",0.003153933120922571
"Vila Velha, ES, BRAZIL",0.0031529010376438907
"João Pessoa, PB, BRAZIL",0.0031525578404372656
"Maranguape, CE, BRAZIL",0.003152109051095639
